DATE,HOUR,STREET1,STREET2,ROAD_CLASS,District,Division,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INVAGE,INJURY,VEHTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID
2016-06-01,19,DUNDAS ST W,BROCK AVE,Minor Arterial,Toronto and East York,11,Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist,30 to 34,Major,Bicycle,0,1,1,0,0,0,0,0,0,0,0,0,0,84
2016-09-02,16,LONSDALE RD,ORIOLE RD,Major Arterial,Toronto and East York,53,Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist,20 to 24,Major,Bicycle,0,1,1,0,0,0,0,0,0,0,0,0,0,97
2016-06-01,19,DUNDAS ST W,BROCK AVE,Minor Arterial,Toronto and East York,11,Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,25 to 29,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,0,0,0,0,84
2015-11-09,20,PORTLAND ST,ROYAL YORK RD,Minor Arterial,Etobicoke York,22,Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,50 to 54,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,1,1,0,0,0,17
2016-01-23,20,THE QUEENSWAY,NORTH QUEEN ST,Major Arterial,Etobicoke York,22,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Cyclist Collisions,Driver,50 to 54,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,1,0,0,0,14
2016-01-23,20,THE QUEENSWAY,NORTH QUEEN ST,Major Arterial,Etobicoke York,22,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Cyclist Collisions,Cyclist,20 to 24,Major,Bicycle,0,1,1,0,0,0,0,0,0,1,0,0,0,14
2015-12-21,21,BATHURST ST,SHEPPARD AVE W,Major Arterial,North York,32,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Pedestrian Collisions,Driver,20 to 24,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,1,1,0,0,34
2016-05-03,6,OAKWOOD AVE,GLENHURST AVE,Minor Arterial,Toronto and East York,13,Intersection,No Control,Clear,"Dawn, artificial",Dry,Turning Movement,Driver,55 to 59,Minor,Pick Up Truck,0,0,1,1,0,0,0,0,0,1,0,0,0,107
2016-06-03,14,LAWRENCE AVE W,MARLEE AVE,Major Arterial,North York,32,Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Truck Driver,20 to 24,Minimal,Tow Truck,0,0,1,0,0,0,0,1,0,1,0,0,0,31
2016-09-04,14,GERRARD ST E,RIVER ST,Minor Arterial,Toronto and East York,51,Mid-Block,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist,65 to 69,Major,Bicycle,0,1,1,0,0,0,0,1,0,0,0,0,0,72
2016-05-03,6,OAKWOOD AVE,GLENHURST AVE,Minor Arterial,Toronto and East York,13,Intersection,No Control,Clear,"Dawn, artificial",Dry,Turning Movement,Motorcycle Driver,50 to 54,Major,Motorcycle,0,0,1,1,0,0,0,0,0,1,0,0,0,107
2016-07-02,18,QUEENS QUAY E,BONNYCASTLE ST,Minor Arterial,Toronto and East York,51,Mid-Block,No Control,Clear,Daylight,Dry,SMV Other,Driver,30 to 34,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,0,0,77
2015-11-10,9,DUNMAIL DR,BLUE EAGLE TRL,Local,Scarborough,42,Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,45 to 49,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,0,0,0,0,129
2016-01-24,5,LAKE SHORE BLVD W,BRITISH COLUMBIA RD,Major Arterial,Toronto and East York,14,Mid-Block,No Control,Clear,"Dark, artificial",Dry,SMV Other,Driver,25 to 29,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,1,1,0,0,0,82
2016-06-03,14,LAWRENCE AVE W,MARLEE AVE,Major Arterial,North York,32,Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Driver,60 to 64,None,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,1,0,0,0,31
2016-09-04,14,GERRARD ST E,RIVER ST,Minor Arterial,Toronto and East York,51,Mid-Block,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,20 to 24,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,1,0,0,0,0,0,72
2016-07-04,20,KIPLING AVE,WESTHUMBER BLVD,Major Arterial,Etobicoke York,23,Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Pedestrian Collisions,Driver,25 to 29,None,Passenger Van,1,0,1,0,0,0,0,0,1,1,0,0,0,4
